label,method,family,algorithm,fit_match_reference_implementation,extract_match_reference_implementation,approx_min_span_tree,k,fit_seconds,extract_seconds,total_seconds,fit_seconds_std,extract_seconds_std,total_seconds_std,repetitions,n_clusters_found,n_samples,n_features,centers,seed,k_max
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,26,21.639396178349852,9.106489407907551,30.7458855862574,0.1075949637314968,0.06031218686724393,0.12334600157723583,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,25,21.639396178349852,9.14521273872039,30.784608917070244,0.1075949637314968,0.053704469937374204,0.12025325904787962,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,24,21.639396178349852,9.157420378085225,30.796816556435076,0.1075949637314968,0.046312487710029424,0.11713890360710116,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,23,21.639396178349852,9.208662902214565,30.84805908056442,0.1075949637314968,0.06266121052247665,0.12451145941046651,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,22,21.639396178349852,9.249179372602763,30.888575550952616,0.1075949637314968,0.07689316810146485,0.13224687338860697,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,21,21.639396178349852,9.24322480892297,30.882620987272823,0.1075949637314968,0.06490235619851056,0.125654256038148,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,20,21.639396178349852,9.264224103582091,30.903620281931943,0.1075949637314968,0.057867771954699464,0.122169371167176,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,19,21.639396178349852,9.293694084192005,30.933090262541857,0.1075949637314968,0.06128167259919573,0.12382293655432797,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,18,21.639396178349852,9.285754710583326,30.925150888933178,0.1075949637314968,0.056709173828353644,0.12162486019180677,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,17,21.639396178349852,9.32634750729582,30.96574368564567,0.1075949637314968,0.06453887217365822,0.12546689699609975,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,16,21.639396178349852,9.335487664917794,30.974883843267648,0.1075949637314968,0.046251439501780206,0.11711478077667628,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,15,21.639396178349852,9.374103312574638,31.013499490924488,0.1075949637314968,0.07359191814303695,0.13035507905852214,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,14,21.639396178349852,9.368366999590458,31.007763177940312,0.1075949637314968,0.06435688113088267,0.1253733798271255,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,13,21.639396178349852,9.41200542425892,31.05140160260877,0.1075949637314968,0.0632799093008313,0.12482396861782415,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,12,21.639396178349852,9.407411545639237,31.04680772398909,0.1075949637314968,0.04198593462350807,0.11549673123769176,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,11,21.639396178349852,9.473598322574981,31.112994500924835,0.1075949637314968,0.055663988308777376,0.12114105751074578,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,10,21.639396178349852,9.448379483337824,31.087775661687676,0.1075949637314968,0.059579978055325646,0.12298963373168975,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,9,21.639396178349852,9.472729154924552,31.112125333274406,0.1075949637314968,0.06436263224614731,0.12537633209675147,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,8,21.639396178349852,9.48321273700179,31.12260891535164,0.1075949637314968,0.0646169979802264,0.1255071019837471,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,7,21.639396178349852,9.494753139000386,31.134149317350236,0.1075949637314968,0.07100836254297736,0.12891417211236716,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,6,21.639396178349852,9.535165253599795,31.17456143194965,0.1075949637314968,0.07255959455224151,0.12977507843175354,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,5,21.639396178349852,9.493720027625871,31.133116205975725,0.1075949637314968,0.05910564120733973,0.12276055165611177,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,4,21.639396178349852,9.419906030331427,31.05930220868128,0.1075949637314968,0.07163950754227212,0.12926289205058572,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,3,21.639396178349852,9.376778709888459,31.01617488823831,0.1075949637314968,0.06402374992931674,0.12520270274795905,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_false,ScoreSG,score_sg,,False,False,2,21.639396178349852,9.249821543972939,30.88921772232279,0.1075949637314968,0.0627416695860329,0.12455197036909949,30,10,90000,20,10,42,50
